Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
C4	CL21B104KCFNNNE	C0805	97.536mm	-34.671mm	97.536mm	-34.671mm	98.536mm	-34.671mm	2	T	180	Yes	100nF	100nF
C5	SHG220UF50V01EC1210	CAP-TH_BD10.0-P5.00-D1.0-FD	82.423mm	-47.879mm	82.423mm	-47.879mm	82.423mm	-45.339mm	2	T	270	No	220uF	220uF
C6	TAJA226K010RNJ	CASE-A_3216	79.248mm	-36.068mm	79.248mm	-36.068mm	79.248mm	-37.268mm	2	T	90	Yes	22uF	22uF
C7	TAJA106K016RNJ	CAP-SMD_L3.2-W1.6-RD-C7171	97.409mm	-37.592mm	97.409mm	-37.592mm	98.939mm	-37.592mm	2	T	180	Yes	10uF	10uF
C8	CL21A106KAYNNNE_C15850	C0805	31.75mm	-54.356mm	31.75mm	-54.356mm	30.75mm	-54.356mm	2	T	0	Yes	10uF	10uF
C9	CL21B104KCFNNNE	C0805	31.623mm	-52.197mm	31.623mm	-52.197mm	30.623mm	-52.197mm	2	T	0	Yes	100nF	100nF
C10	CL21B104KCFNNNE	C0805	35.941mm	-52.197mm	35.941mm	-52.197mm	36.941mm	-52.197mm	2	T	180	Yes	100nF	100nF
D1	MB210S_C382839	MBS_L4.7-W4.0-P2.50-LS7.0-BL	119.253mm	-46.609mm	119.253mm	-46.609mm	120.503mm	-43.761mm	4	T	180	Yes	MB210S	MB210S
D2	SS35	SMC_L6.9-W5.9-LS7.9-RD	95.885mm	-45.847mm	95.885mm	-45.847mm	92.199mm	-45.847mm	2	T	0	Yes	SS35	SS35
D55	USBLC6-2P6	SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BL	66.929mm	-30.48mm	66.929mm	-30.48mm	67.679mm	-30.98mm	6	T	90	Yes	USBLC6-2P6	USBLC6-2P6
D56	SS35	SMC_L6.9-W5.9-LS7.9-RD	88.519mm	-24.765mm	88.519mm	-24.765mm	92.205mm	-24.765mm	2	T	180	Yes	SS35	SS35
F1	RL250-800	FUSE-TH_L20.0-W4.5-P5.10-D0.8-S3.70	120.904mm	-23.241mm	120.904mm	-23.241mm	118.354mm	-21.391mm	2	T	0	No	RL250-800	RL250-800
J2	WJ500V-5.08-2P	CONN-TH_2P-P5.00_WJ500V-5.08-2P	127.254mm	-41.021mm	127.254mm	-41.021mm	127.254mm	-38.481mm	2	T	270	No	WJ500V-5.08-2P	WJ500V-5.08-2P
Z-1	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	28.448mm	-73.787mm	28.448mm	-73.787mm	26.098mm	-64.537mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
Z-2	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	40.767mm	-73.787mm	40.767mm	-73.787mm	38.417mm	-64.537mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
Z-3	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	52.832mm	-73.533mm	52.832mm	-73.533mm	50.482mm	-64.283mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
Z-4	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	65.913mm	-73.152mm	65.913mm	-73.152mm	63.563mm	-63.902mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
Z-5	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	97.028mm	-72.898mm	97.028mm	-72.898mm	94.678mm	-63.648mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
Z-6	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	108.966mm	-72.517mm	108.966mm	-72.517mm	106.616mm	-63.267mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
Z-7	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	120.619mm	-72.451mm	120.619mm	-72.451mm	118.269mm	-63.201mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
Z-8	HF46F-G/5-HS1	RELAYS-TH_HF46F-G-XX-HS1-XXX	132.842mm	-72.318mm	132.842mm	-72.318mm	130.492mm	-63.069mm	4	T	270	No	HF46F-G/5-HS1	HF46F-G/5-HS1
L2	PSPMAA1050H-101M-ANP	IND-SMD_L11.5-W10.0	110.998mm	-47.371mm	110.998mm	-47.371mm	110.998mm	-42.194mm	2	T	270	Yes	100uH	100uH
LED1	NCD0805R1_C84256	LED0805-RD	30.734mm	-61.722mm	30.734mm	-61.722mm	31.834mm	-61.722mm	2	T	180	Yes	NCD0805R1	NCD0805R1
LED2	NCD0805R1_C84256	LED0805-RD	42.926mm	-61.722mm	42.926mm	-61.722mm	44.026mm	-61.722mm	2	T	180	Yes	NCD0805R1	NCD0805R1
LED3	NCD0805R1_C84256	LED0805-RD	54.864mm	-61.341mm	54.864mm	-61.341mm	55.964mm	-61.341mm	2	T	180	Yes	NCD0805R1	NCD0805R1
LED4	NCD0805R1_C84256	LED0805-RD	67.818mm	-61.214mm	67.818mm	-61.214mm	68.918mm	-61.214mm	2	T	180	Yes	NCD0805R1	NCD0805R1
LED5	NCD0805R1_C84256	LED0805-RD	98.895mm	-60.634mm	98.894mm	-60.634mm	99.995mm	-60.634mm	2	T	180	Yes	NCD0805R1	NCD0805R1
